====================
density: 0.3
nodes: 20
Node have file: 1
=====================
ExperimentServent(0x94851e): result: 1, tx: 42, rx: 30
ExperimentServent(0x8db070): result: 1, tx: 16, rx: 13
ExperimentServent(0x8daef4): result: 1, tx: 22, rx: 20
ExperimentServent(0x8d7b18): result: 1, tx: 13, rx: 12
ExperimentServent(0x8db0aa): result: 1, tx: 18, rx: 18
ExperimentServent(0x8db078): result: 1, tx: 34, rx: 28
ExperimentServent(0x8db0be): result: 1, tx: 19, rx: 21
ExperimentServent(0x8db068): result: 1, tx: 19, rx: 13
ExperimentServent(0x8d7b1e): result: 1, tx: 17, rx: 33
ExperimentServent(0x8db060): result: 1, tx: 8, rx: 10
ExperimentServent(0x8db0b4): result: 1, tx: 23, rx: 20
ExperimentServent(0x8db0a0): result: 1, tx: 35, rx: 31
ExperimentServent(0x8db096): result: 1, tx: 8, rx: 9
ExperimentServent(0x8db058): result: 1, tx: 3, rx: 7
ExperimentServent(0x8d7be8): result: 1, tx: 4, rx: 23
=====================
ExperimentServent(0x95d220): result: 1, tx: 12, rx: 18
ExperimentServent(0x96078c): result: 1, tx: 21, rx: 32
ExperimentServent(0x960796): result: 1, tx: 22, rx: 24
ExperimentServent(0x960782): result: 1, tx: 39, rx: 29
ExperimentServent(0x960768): result: 1, tx: 16, rx: 14
ExperimentServent(0x95d2e8): result: 1, tx: 17, rx: 18
ExperimentServent(0x95d258): result: 1, tx: 14, rx: 12
ExperimentServent(0x960778): result: 1, tx: 19, rx: 22
ExperimentServent(0x95d238): result: 1, tx: 21, rx: 15
ExperimentServent(0x9605f4): result: 1, tx: 15, rx: 13
ExperimentServent(0x9607a0): result: 1, tx: 21, rx: 17
ExperimentServent(0x960758): result: 1, tx: 13, rx: 11
ExperimentServent(0x95d206): result: 1, tx: 32, rx: 29
ExperimentServent(0x95d218): result: 1, tx: 16, rx: 16
ExperimentServent(0x960760): result: 1, tx: 8, rx: 10
ExperimentServent(0x960770): result: 1, tx: 16, rx: 13
ExperimentServent(0x9607be): result: 1, tx: 4, rx: 16
ExperimentServent(0x9607aa): result: 1, tx: 23, rx: 20
ExperimentServent(0x95d21e): result: 1, tx: 7, rx: 4
ExperimentServent(0x9607b4): result: 1, tx: 5, rx: 8
=====================
ExperimentServent(0xa35658): result: 1, tx: 34, rx: 24
ExperimentServent(0xa3561e): result: 1, tx: 4, rx: 15
ExperimentServent(0xa38b8c): result: 1, tx: 19, rx: 14
ExperimentServent(0xa38b60): result: 1, tx: 19, rx: 19
ExperimentServent(0xa38b70): result: 1, tx: 22, rx: 19
ExperimentServent(0xa35620): result: 1, tx: 12, rx: 16
ExperimentServent(0xa35618): result: 1, tx: 20, rx: 16
ExperimentServent(0xa38b68): result: 1, tx: 17, rx: 15
ExperimentServent(0xa38b58): result: 1, tx: 12, rx: 11
ExperimentServent(0xa38b82): result: 1, tx: 16, rx: 12
ExperimentServent(0xa35606): result: 1, tx: 14, rx: 11
ExperimentServent(0xa35638): result: 1, tx: 11, rx: 8
ExperimentServent(0xa356e8): result: 1, tx: 32, rx: 27
ExperimentServent(0xa38baa): result: 1, tx: 37, rx: 29
ExperimentServent(0xa389f4): result: 1, tx: 12, rx: 12
ExperimentServent(0xa38b78): result: 1, tx: 8, rx: 8
ExperimentServent(0xa38b96): result: 1, tx: 13, rx: 26
ExperimentServent(0xa38bbe): result: 1, tx: 25, rx: 37
ExperimentServent(0xa38bb4): result: 1, tx: 9, rx: 8
ExperimentServent(0xa38ba0): result: 1, tx: 29, rx: 38
=====================
ExperimentServent(0x912218): result: 1, tx: 10, rx: 12
ExperimentServent(0x915770): result: 1, tx: 14, rx: 9
ExperimentServent(0x9155f4): result: 1, tx: 14, rx: 27
ExperimentServent(0x915760): result: 1, tx: 22, rx: 22
ExperimentServent(0x915782): result: 1, tx: 18, rx: 15
ExperimentServent(0x915768): result: 1, tx: 20, rx: 19
ExperimentServent(0x915778): result: 1, tx: 18, rx: 13
ExperimentServent(0x912206): result: 1, tx: 18, rx: 13
ExperimentServent(0x912258): result: 1, tx: 31, rx: 19
ExperimentServent(0x91221e): result: 1, tx: 14, rx: 18
ExperimentServent(0x9122e8): result: 1, tx: 17, rx: 15
ExperimentServent(0x9157a0): result: 1, tx: 33, rx: 27
ExperimentServent(0x91578c): result: 1, tx: 7, rx: 16
ExperimentServent(0x915796): result: 1, tx: 9, rx: 26
ExperimentServent(0x912238): result: 1, tx: 26, rx: 19
ExperimentServent(0x9157b4): result: 1, tx: 6, rx: 5
ExperimentServent(0x9157be): result: 1, tx: 6, rx: 6
ExperimentServent(0x912220): result: 1, tx: 4, rx: 3
ExperimentServent(0x915758): result: 1, tx: 7, rx: 5
ExperimentServent(0x9157aa): result: 1, tx: 3, rx: 8
=====================
ExperimentServent(0x977c20): result: 1, tx: 10, rx: 13
ExperimentServent(0x977c1e): result: 1, tx: 19, rx: 25
ExperimentServent(0x977c18): result: 1, tx: 34, rx: 28
ExperimentServent(0x977c58): result: 1, tx: 4, rx: 13
ExperimentServent(0x97aff4): result: 1, tx: 19, rx: 14
ExperimentServent(0x97b158): result: 1, tx: 19, rx: 18
ExperimentServent(0x977ce8): result: 1, tx: 13, rx: 10
ExperimentServent(0x97b1be): result: 1, tx: 13, rx: 24
ExperimentServent(0x97b1aa): result: 1, tx: 10, rx: 12
ExperimentServent(0x97b168): result: 1, tx: 18, rx: 17
ExperimentServent(0x97b178): result: 1, tx: 32, rx: 24
ExperimentServent(0x97b1a0): result: 1, tx: 14, rx: 14
ExperimentServent(0x97b170): result: 1, tx: 16, rx: 10
ExperimentServent(0x977c38): result: 1, tx: 10, rx: 10
ExperimentServent(0x977c06): result: 1, tx: 31, rx: 25
ExperimentServent(0x97b196): result: 1, tx: 22, rx: 19
ExperimentServent(0x97b160): result: 1, tx: 19, rx: 21
ExperimentServent(0x97b18c): result: 1, tx: 7, rx: 8
ExperimentServent(0x97b182): result: 1, tx: 8, rx: 6
ExperimentServent(0x97b1b4): result: 1, tx: 13, rx: 20
=====================
ExperimentServent(0x9f3506): result: 1, tx: 18, rx: 18
ExperimentServent(0x9f68f4): result: 1, tx: 14, rx: 14
ExperimentServent(0x9f3558): result: 1, tx: 15, rx: 13
ExperimentServent(0x9f6a8c): result: 1, tx: 34, rx: 35
ExperimentServent(0x9f3518): result: 1, tx: 9, rx: 9
ExperimentServent(0x9f6a68): result: 1, tx: 9, rx: 12
ExperimentServent(0x9f6a70): result: 1, tx: 19, rx: 16
ExperimentServent(0x9f6a82): result: 1, tx: 3, rx: 19
ExperimentServent(0x9f35e8): result: 1, tx: 17, rx: 13
ExperimentServent(0x9f6aa0): result: 1, tx: 18, rx: 12
ExperimentServent(0x9f3520): result: 1, tx: 19, rx: 13
ExperimentServent(0x9f6a60): result: 1, tx: 13, rx: 19
ExperimentServent(0x9f6aaa): result: 1, tx: 19, rx: 13
ExperimentServent(0x9f6a96): result: 1, tx: 32, rx: 37
ExperimentServent(0x9f6ab4): result: 1, tx: 17, rx: 17
ExperimentServent(0x9f6abe): result: 1, tx: 17, rx: 14
ExperimentServent(0x9f6a78): result: 1, tx: 27, rx: 27
ExperimentServent(0x9f3538): result: 1, tx: 8, rx: 7
ExperimentServent(0x9f6a58): result: 1, tx: 4, rx: 4
ExperimentServent(0x9f351e): result: 1, tx: 4, rx: 4
=====================
ExperimentServent(0x8dfd82): result: 1, tx: 16, rx: 22
ExperimentServent(0x8dc838): result: 1, tx: 32, rx: 26
ExperimentServent(0x8dc81e): result: 1, tx: 16, rx: 14
ExperimentServent(0x8dfd70): result: 1, tx: 17, rx: 20
ExperimentServent(0x8dc806): result: 1, tx: 16, rx: 15
ExperimentServent(0x8dfd78): result: 1, tx: 30, rx: 21
ExperimentServent(0x8dc818): result: 1, tx: 11, rx: 10
ExperimentServent(0x8dc8e8): result: 1, tx: 4, rx: 14
ExperimentServent(0x8dc858): result: 1, tx: 13, rx: 24
ExperimentServent(0x8dfdbe): result: 1, tx: 32, rx: 26
ExperimentServent(0x8dfd68): result: 1, tx: 13, rx: 22
ExperimentServent(0x8dfbf4): result: 1, tx: 20, rx: 17
ExperimentServent(0x8dfd58): result: 1, tx: 13, rx: 10
ExperimentServent(0x8dfd60): result: 1, tx: 13, rx: 10
ExperimentServent(0x8dfd8c): result: 1, tx: 33, rx: 35
ExperimentServent(0x8dfdb4): result: 1, tx: 20, rx: 17
ExperimentServent(0x8dfdaa): result: 1, tx: 14, rx: 12
ExperimentServent(0x8dc820): result: 1, tx: 4, rx: 3
ExperimentServent(0x8dfda0): result: 1, tx: 14, rx: 10
ExperimentServent(0x8dfd96): result: 1, tx: 7, rx: 10
=====================
ExperimentServent(0x87cf68): result: 1, tx: 20, rx: 24
ExperimentServent(0x87cf78): result: 1, tx: 5, rx: 23
ExperimentServent(0x879a20): result: 1, tx: 15, rx: 16
ExperimentServent(0x87cfaa): result: 1, tx: 29, rx: 25
ExperimentServent(0x879a58): result: 1, tx: 30, rx: 17
ExperimentServent(0x87cf60): result: 1, tx: 22, rx: 20
ExperimentServent(0x87cf82): result: 1, tx: 67, rx: 51
ExperimentServent(0x87cfb4): result: 1, tx: 20, rx: 13
ExperimentServent(0x879a06): result: 1, tx: 34, rx: 33
ExperimentServent(0x87cfa0): result: 1, tx: 17, rx: 11
ExperimentServent(0x87cf8c): result: 1, tx: 14, rx: 15
ExperimentServent(0x87cf96): result: 1, tx: 9, rx: 14
ExperimentServent(0x87cfbe): result: 1, tx: 19, rx: 19
ExperimentServent(0x87cf70): result: 1, tx: 14, rx: 16
ExperimentServent(0x87cf58): result: 1, tx: 35, rx: 36
ExperimentServent(0x879a1e): result: 1, tx: 21, rx: 19
ExperimentServent(0x879a38): result: 1, tx: 23, rx: 20
ExperimentServent(0x879ae8): result: 1, tx: 26, rx: 35
ExperimentServent(0x87cdf4): result: 1, tx: 13, rx: 27
ExperimentServent(0x879a18): result: 1, tx: 10, rx: 9
=====================
ExperimentServent(0x9f5720): result: 1, tx: 19, rx: 14
ExperimentServent(0x9f8c82): result: 1, tx: 15, rx: 14
ExperimentServent(0x9f8c8c): result: 1, tx: 15, rx: 13
ExperimentServent(0x9f5758): result: 1, tx: 11, rx: 11
ExperimentServent(0x9f8c78): result: 1, tx: 19, rx: 16
ExperimentServent(0x9f5718): result: 1, tx: 29, rx: 24
ExperimentServent(0x9f8c68): result: 1, tx: 9, rx: 11
ExperimentServent(0x9f8c70): result: 1, tx: 26, rx: 30
ExperimentServent(0x9f571e): result: 1, tx: 11, rx: 11
ExperimentServent(0x9f5738): result: 1, tx: 15, rx: 10
ExperimentServent(0x9f8c60): result: 1, tx: 3, rx: 10
ExperimentServent(0x9f57e8): result: 1, tx: 25, rx: 19
ExperimentServent(0x9f5706): result: 1, tx: 11, rx: 9
ExperimentServent(0x9f8c58): result: 1, tx: 8, rx: 6
ExperimentServent(0x9f8c96): result: 1, tx: 17, rx: 22
ExperimentServent(0x9f8caa): result: 1, tx: 9, rx: 6
ExperimentServent(0x9f8ca0): result: 1, tx: 16, rx: 25
ExperimentServent(0x9f8cbe): result: 1, tx: 15, rx: 18
ExperimentServent(0x9f8cb4): result: 1, tx: 14, rx: 16
ExperimentServent(0x9f8af4): result: 1, tx: 5, rx: 7
=====================
ExperimentServent(0x8e8cf4): result: 1, tx: 34, rx: 31
ExperimentServent(0x8e59e8): result: 1, tx: 28, rx: 24
ExperimentServent(0x8e8eb4): result: 1, tx: 18, rx: 22
ExperimentServent(0x8e5918): result: 1, tx: 16, rx: 15
ExperimentServent(0x8e8ea0): result: 1, tx: 25, rx: 45
ExperimentServent(0x8e5920): result: 1, tx: 18, rx: 19
ExperimentServent(0x8e591e): result: 1, tx: 20, rx: 12
ExperimentServent(0x8e8e70): result: 1, tx: 32, rx: 26
ExperimentServent(0x8e8e68): result: 1, tx: 18, rx: 20
ExperimentServent(0x8e8ebe): result: 1, tx: 13, rx: 22
ExperimentServent(0x8e8e8c): result: 1, tx: 32, rx: 25
ExperimentServent(0x8e5958): result: 1, tx: 14, rx: 13
ExperimentServent(0x8e8e60): result: 1, tx: 3, rx: 9
ExperimentServent(0x8e8e58): result: 1, tx: 13, rx: 8
ExperimentServent(0x8e8e96): result: 1, tx: 16, rx: 17
ExperimentServent(0x8e5938): result: 1, tx: 10, rx: 11
ExperimentServent(0x8e8e78): result: 1, tx: 23, rx: 22
ExperimentServent(0x8e8eaa): result: 1, tx: 23, rx: 21
ExperimentServent(0x8e8e82): result: 1, tx: 10, rx: 6
ExperimentServent(0x8e5906): result: 1, tx: 8, rx: 6
=====================
ExperimentServent(0x980670): result: 1, tx: 32, rx: 22
ExperimentServent(0x9806aa): result: 1, tx: 30, rx: 22
ExperimentServent(0x97d120): result: 1, tx: 20, rx: 19
ExperimentServent(0x980678): result: 1, tx: 20, rx: 20
ExperimentServent(0x980660): result: 1, tx: 17, rx: 15
ExperimentServent(0x9804f4): result: 1, tx: 16, rx: 19
ExperimentServent(0x97d138): result: 1, tx: 14, rx: 10
ExperimentServent(0x980682): result: 1, tx: 14, rx: 14
ExperimentServent(0x97d11e): result: 1, tx: 51, rx: 38
ExperimentServent(0x9806a0): result: 1, tx: 23, rx: 23
ExperimentServent(0x97d118): result: 1, tx: 10, rx: 14
ExperimentServent(0x980668): result: 1, tx: 9, rx: 22
ExperimentServent(0x980658): result: 1, tx: 7, rx: 16
ExperimentServent(0x97d1e8): result: 1, tx: 18, rx: 15
ExperimentServent(0x97d158): result: 1, tx: 8, rx: 7
ExperimentServent(0x980696): result: 1, tx: 9, rx: 15
ExperimentServent(0x97d106): result: 1, tx: 10, rx: 12
ExperimentServent(0x9806b4): result: 1, tx: 5, rx: 10
ExperimentServent(0x9806be): result: 1, tx: 8, rx: 7
ExperimentServent(0x98068c): result: 1, tx: 2, rx: 3
=====================
ExperimentServent(0xa39b20): result: 1, tx: 20, rx: 15
ExperimentServent(0xa3d060): result: 1, tx: 20, rx: 16
ExperimentServent(0xa3d068): result: 1, tx: 36, rx: 30
ExperimentServent(0xa39b58): result: 1, tx: 17, rx: 16
ExperimentServent(0xa3d078): result: 1, tx: 11, rx: 15
ExperimentServent(0xa3d0a0): result: 1, tx: 20, rx: 20
ExperimentServent(0xa39b18): result: 1, tx: 9, rx: 13
ExperimentServent(0xa3d070): result: 1, tx: 18, rx: 19
ExperimentServent(0xa39b38): result: 1, tx: 27, rx: 23
ExperimentServent(0xa3d0be): result: 1, tx: 24, rx: 18
ExperimentServent(0xa3d08c): result: 1, tx: 9, rx: 10
ExperimentServent(0xa3d0aa): result: 1, tx: 27, rx: 19
ExperimentServent(0xa39b06): result: 1, tx: 16, rx: 12
ExperimentServent(0xa3d096): result: 1, tx: 10, rx: 12
ExperimentServent(0xa3d0b4): result: 1, tx: 19, rx: 23
ExperimentServent(0xa39b1e): result: 1, tx: 25, rx: 33
ExperimentServent(0xa39be8): result: 1, tx: 4, rx: 13
ExperimentServent(0xa3d058): result: 1, tx: 5, rx: 8
ExperimentServent(0xa3cef4): result: 1, tx: 4, rx: 4
ExperimentServent(0xa3d082): result: 1, tx: 3, rx: 5
=====================
ExperimentServent(0x87d560): result: 1, tx: 6, rx: 29
ExperimentServent(0x87a020): result: 1, tx: 13, rx: 16
ExperimentServent(0x87d3f4): result: 1, tx: 19, rx: 14
ExperimentServent(0x87d568): result: 1, tx: 35, rx: 29
ExperimentServent(0x87d5a0): result: 1, tx: 26, rx: 16
ExperimentServent(0x87d58c): result: 1, tx: 16, rx: 19
ExperimentServent(0x87d5b4): result: 1, tx: 27, rx: 19
ExperimentServent(0x87d570): result: 1, tx: 21, rx: 15
ExperimentServent(0x87d558): result: 1, tx: 23, rx: 21
ExperimentServent(0x87d596): result: 1, tx: 19, rx: 30
ExperimentServent(0x87a058): result: 1, tx: 22, rx: 27
ExperimentServent(0x87a0e8): result: 1, tx: 18, rx: 12
ExperimentServent(0x87a018): result: 1, tx: 13, rx: 8
ExperimentServent(0x87d578): result: 1, tx: 30, rx: 21
ExperimentServent(0x87a006): result: 1, tx: 21, rx: 26
ExperimentServent(0x87a01e): result: 1, tx: 20, rx: 13
ExperimentServent(0x87a038): result: 1, tx: 47, rx: 50
ExperimentServent(0x87d582): result: 1, tx: 9, rx: 11
ExperimentServent(0x87d5be): result: 1, tx: 12, rx: 13
ExperimentServent(0x87d5aa): result: 1, tx: 9, rx: 17
=====================
ExperimentServent(0x9fc478): result: 1, tx: 18, rx: 20
ExperimentServent(0x9f8f18): result: 1, tx: 19, rx: 18
ExperimentServent(0x9fc2f4): result: 1, tx: 33, rx: 29
ExperimentServent(0x9fc468): result: 1, tx: 4, rx: 18
ExperimentServent(0x9f8f38): result: 1, tx: 28, rx: 19
ExperimentServent(0x9f8f20): result: 1, tx: 12, rx: 18
ExperimentServent(0x9f8fe8): result: 1, tx: 21, rx: 19
ExperimentServent(0x9f8f58): result: 1, tx: 18, rx: 17
ExperimentServent(0x9fc470): result: 1, tx: 19, rx: 17
ExperimentServent(0x9fc460): result: 1, tx: 10, rx: 10
ExperimentServent(0x9f8f06): result: 1, tx: 10, rx: 7
ExperimentServent(0x9f8f1e): result: 1, tx: 10, rx: 13
ExperimentServent(0x9fc482): result: 1, tx: 21, rx: 32
ExperimentServent(0x9fc4a0): result: 1, tx: 14, rx: 14
ExperimentServent(0x9fc48c): result: 1, tx: 17, rx: 14
ExperimentServent(0x9fc4be): result: 1, tx: 21, rx: 18
ExperimentServent(0x9fc4b4): result: 1, tx: 13, rx: 12
ExperimentServent(0x9fc496): result: 1, tx: 20, rx: 18
ExperimentServent(0x9fc458): result: 1, tx: 7, rx: 6
ExperimentServent(0x9fc4aa): result: 1, tx: 15, rx: 11
